"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","entrez","ensembl","gene_name"
418.123210972574,-2.12070202034078,0.236983547188464,1.34564043357417e-18,2.13296354046585e-17,"TRIL","9865","ENSG00000255690","TLR4 interactor with leucine rich repeats"
579.057144371887,1.16282141002229,0.138637463956936,1.36231656386498e-18,2.15774708316369e-17,"HMGCR","3156","ENSG00000113161","3-hydroxy-3-methylglutaryl-CoA reductase"
208.763511246928,-1.56698379538602,0.170813353561287,1.37501629957671e-18,2.17453950717955e-17,"EDA","1896","ENSG00000158813","ectodysplasin A"
1297.29136174148,-1.646892259459,0.191372982545759,1.41745276168229e-18,2.23823671804713e-17,"GRAMD4","23151","ENSG00000075240","GRAM domain containing 4"
266.656324510705,-1.89855235352833,0.218930689913197,1.42364901792067e-18,2.24631012850451e-17,"GPRC5C","55890","ENSG00000170412","G protein-coupled receptor class C group 5 member C"
4795.93807815303,-2.73364560246249,0.33649525292047,1.43121301476923e-18,2.25652771370421e-17,"COL16A1","1307","ENSG00000084636","collagen type XVI alpha 1 chain"
115.77207973934,-2.87260264800044,0.312796703035708,1.442240066777e-18,2.26884518913152e-17,"AK097702",NA,NA,"AK097702"
37.1513886505942,-2.82104793794781,0.316862094857057,1.44216827707136e-18,2.26884518913152e-17,"AK098727",NA,NA,"AK098727"
166.325319417011,-1.91639861390714,0.213281148484055,1.44230837759868e-18,2.26884518913152e-17,"CHST7","56548","ENSG00000147119","carbohydrate sulfotransferase 7"
682.972738718799,-1.22933921140599,0.138404532612225,1.50485866131186e-18,2.36544614290969e-17,"ANKS6","203286","ENSG00000165138","ankyrin repeat and sterile alpha motif domain containing 6"
1063.8896046583,-1.47217712848622,0.168889963413201,1.53881109940968e-18,2.41698261545916e-17,"CHMP1A","5119","ENSG00000131165","charged multivesicular body protein 1A"
122.124190006402,-2.29210196691191,0.253287706299824,1.54152299686259e-18,2.41940925767995e-17,"RP11-1055B8.4:ENSG00000262877",NA,NA,"RP11-1055B8.4:ENSG00000262877"
196.322677478456,2.26670908238886,0.296456267030861,1.57049979208891e-18,2.46302361493037e-17,"KIF11","3832","ENSG00000138160","kinesin family member 11"
153.045009001706,-2.4199395423589,0.28217056972267,1.58221242582469e-18,2.47764427678424e-17,"TMEM86B","255043","ENSG00000180089","transmembrane protein 86B"
309.167102894906,-1.25128209526541,0.139857998986024,1.60106231219198e-18,2.50338046143863e-17,"TUBG2","27175","ENSG00000037042","tubulin gamma 2"
800.148067821812,1.31622953523279,0.154619297856398,1.61832290916373e-18,2.52846185950954e-17,"GCNT1","2650","ENSG00000187210","glucosaminyl (N-acetyl) transferase 1"
129.796959545402,-2.46848378855763,0.28915702315642,1.63742807177766e-18,2.55446171649106e-17,"SNORA50",NA,NA,"SNORA50"
706.661566527839,-1.51151242646438,0.173626885470914,1.64343394331297e-18,2.56190345463969e-17,"REPIN1","29803","ENSG00000214022","replication initiator 1"
283.46510972455,-1.9569059050717,0.216554531198192,1.7048328490018e-18,2.6556197940161e-17,"ROBO3","64221","ENSG00000154134","roundabout guidance receptor 3"
