"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0033046","GO:0033046","negative regulation of sister chromatid segregation","25/4203","46/13465",0.543478260869565,1.74112176602634,3.3917416602511,0.000928030934236653,0.0266112099918016,0.023780424807934,"MAD1L1/XRCC3/TTK/BUB1/MAD2L1/INCENP/KNTC1/SKA3/NUF2/ATM/KLHL22/ZWILCH/GEN1/FBXO5/NDC80/BIRC5/CENPF/CDC20/CCNB1/SPC25/CDCA8/TRIP13/BUB1B/SPC24/AURKB",25
"GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation","25/4203","46/13465",0.543478260869565,1.74112176602634,3.3917416602511,0.000928030934236653,0.0266112099918016,0.023780424807934,"MAD1L1/XRCC3/TTK/BUB1/MAD2L1/INCENP/KNTC1/SKA3/NUF2/ATM/KLHL22/ZWILCH/GEN1/FBXO5/NDC80/BIRC5/CENPF/CDC20/CCNB1/SPC25/CDCA8/TRIP13/BUB1B/SPC24/AURKB",25
"GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","25/4203","46/13465",0.543478260869565,1.74112176602634,3.3917416602511,0.000928030934236653,0.0266112099918016,0.023780424807934,"MAD1L1/XRCC3/TTK/BUB1/MAD2L1/INCENP/KNTC1/SKA3/NUF2/ATM/KLHL22/ZWILCH/GEN1/FBXO5/NDC80/BIRC5/CENPF/CDC20/CCNB1/SPC25/CDCA8/TRIP13/BUB1B/SPC24/AURKB",25
"GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation","25/4203","46/13465",0.543478260869565,1.74112176602634,3.3917416602511,0.000928030934236653,0.0266112099918016,0.023780424807934,"MAD1L1/XRCC3/TTK/BUB1/MAD2L1/INCENP/KNTC1/SKA3/NUF2/ATM/KLHL22/ZWILCH/GEN1/FBXO5/NDC80/BIRC5/CENPF/CDC20/CCNB1/SPC25/CDCA8/TRIP13/BUB1B/SPC24/AURKB",25
"GO:0007189","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","56/4203","125/13465",0.448,1.43524149417083,3.2932275690336,0.000928351199232809,0.0266112099918016,0.023780424807934,"ADCY9/PDE4A/MAPK7/CXCL10/PRKACA/PLCB3/DGKQ/MGRN1/GPR65/PRKY/CXCL9/RAPGEF3/ADCY6/MC1R/GPR157/CXCL11/TBXA2R/ADRA1B/CXCR4/PTGIR/GPR174/ADCY3/GPR18/AVPR2/ADCY4/ADRA2A/GPR15/VIPR2/PTH1R/PTGFR/RAMP3/ADCYAP1R1/PRKAR1B/PDE2A/RAMP1/ADCY5/HTR6/LPAR2/ADM5/GPR4/GALR1/ADRB1/ADRA1D/VIPR1/ADCY8/RXFP1/MC4R/TSHR/CXCR3/ADORA2A/ADM2/ADCYAP1/SCT/PTGER1/ADRA1A/MRAP",56
"GO:0032693","GO:0032693","negative regulation of interleukin-10 production","13/4203","19/13465",0.684210526315789,2.19198066543947,3.50238445092836,0.000934527608755524,0.0266569419379823,0.0238212919878859,"DLL1/PDCD1LG2/CD274/FCGR2B/AGER/BTK/IDO1/IL23R/TYROBP/LILRB4/JAK3/IL12B/IL23A",13
"GO:0010817","GO:0010817","regulation of hormone levels","168/4203","440/13465",0.381818181818182,1.22321718253196,3.20685595308185,0.000944748460373722,0.0268170306873887,0.0239643511899676,"RAB11FIP3/RAB11B/GNA11/CYB5R4/LTBP4/FAM3A/RPH3AL/STX4/SREBF1/MIDN/SIRT3/STUB1/LRP5/CYP21A2/TRPM4/HSD17B1/CAPN10/PNPLA2/PRKACA/DGKQ/DGAT1/IL1B/BCAT2/GNAO1/GABBR1/BBS1/CYP26B1/RAPGEF3/CLCN2/BRSK2/SULT1B1/JAK2/SIRT6/BAD/ATP6AP2/C1QTNF1/H6PD/ECE1/RAB8B/ACSL4/SPP1/PPARD/FGFR1/LYN/PLA2G6/IL1RN/INHA/FURIN/HIF1A/PRCP/NR1D1/STARD3/NLGN2/SYT7/PICK1/PIM3/IL6/UCN/PFKL/SOX8/TCIRG1/CRY2/PER2/RDH13/PRKCB/TUBB1/HSD17B11/SERP1/RAB11FIP5/IFNG/CPLX1/TCF7L2/ADRA2C/DHRS9/HPN/PCSK4/PLA2G7/FFAR2/GNB3/BTK/IRS2/CYP2D6/SLC25A22/WNK4/PCSK7/CTSK/CCL5/BMP2/STX1A/CHST8/F2RL1/ADRA2A/MYB/ALOX5/SSTR5/PAX8/MLXIPL/BLK/RDH16/TBX3/ADORA1/EXOC3L1/SLC7A8/CTSB/IRS1/UGT2B17/DIO3/CTSZ/ADCY5/CEL/RDH5/SCG5/CPA3/ASMT/HLA-DRB1/BAIAP3/LIPE/DIO2/ABCA12/LRAT/CMA1/PCSK1/INHBB/MAFA/SDR16C5/SNAP25/RAB44/AKR1C2/TPO/KCNB1/GCNT4/TNF/CYP1A2/CTSG/GALR1/BMP8A/SLC7A5/RASL10B/ADCY8/TAC1/ADH1C/EGR1/NMU/CYP1A1/OSM/CRYM/FOXD1/HSD3B2/PCSK6/MC4R/ILDR1/DUOX2/NNAT/ADH4/ADCYAP1/CYP3A4/RBP4/DUOX1/GAL/ABCC8/SCT/SMPD3/NOS2/FOXL2/AKR1B15/RETN/RPE65/AKR1D1",168
"GO:0030889","GO:0030889","negative regulation of B cell proliferation","12/4203","17/13465",0.705882352941177,2.26140991728597,3.50563107337312,0.000970757805943334,0.027199130225857,0.0243058046355828,"PKN1/MNDA/CASP3/CTLA4/ATM/LYN/IL10/FCGR2B/BTK/PAWR/TYROBP/TNFRSF13B",12
"GO:1903978","GO:1903978","regulation of microglial cell activation","12/4203","17/13465",0.705882352941177,2.26140991728597,3.50563107337312,0.000970757805943334,0.027199130225857,0.0243058046355828,"PTPRC/CTSC/NR1D1/CALHM2/IL6/CCL3/CX3CL1/CST7/STAP1/SPHK1/TTBK1/MMP8",12
"GO:0018149","GO:0018149","peptide cross-linking","11/4203","15/13465",0.733333333333333,2.34935363629154,3.52228610277201,0.000972232185423314,0.027199130225857,0.0243058046355828,"KRT2/KRT1/KRT10/PI3/F13A1/TGM2/CSTA/DSP/EVPL/TGM3/FLG",11
