"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-449147","R-HSA-449147","Signaling by Interleukins","150/2693","454/11230",0.330396475770925,1.3777766145219,4.6149848779717,5.13639275790935e-06,0.000782599478386916,0.000724501715326161,"VAMP2/MAP2K7/TAB1/TOLLIP/IRAK4/PTPN23/CSF1/PTPN2/STX4/FPR1/LAMA5/MAPK7/MMP1/CXCL10/PRKACA/TGFB1/PPP2R1A/S100A12/IL1B/SMARCA4/IRF4/CTF1/PSMA4/IL17RC/CAPZA1/PELI3/CD80/MMP3/RIPK2/IL11RA/IKBKG/JAK2/MAP2K3/DUSP7/LCP1/CHUK/RPS6KA2/CD86/INPPL1/LRRC14/CCL4/NLRX1/GAB2/PIK3R2/IL7R/LYN/IL1RN/IL2RG/HIF1A/MAPK3/JUN/CLCF1/PSMA1/HAVCR2/IL21R/PSMA5/CCR2/IL6/TBK1/CASP1/STAT1/IL10/NFKBIB/CA1/CCL20/RAP1B/FSCN1/IL18RAP/SDC1/PSMA6/VEGFA/PSME2/SOD2/LBP/TYK2/PTGS2/IL17RE/CXCL1/IFNG/CCL3/IRAK1/CCR1/AGER/IL2RA/PSMA3/NOD1/IL7/BIRC5/CCL2/HGF/IRS2/BCL6/ZEB1/CCR5/PTPN7/TIFA/IL18/CCND1/TRAF2/GSDMD/MAPK11/CCL5/STX1A/F13A1/ALOX5/IL18R1/CSF2RA/IL23R/BATF/CXCL2/IL21/SIGIRR/IRS1/LCK/LCN2/CNTFR/IL5RA/PTAFR/IL27RA/IL12A/IL2RB/VCAM1/BLNK/STAT4/CCL3L1/SNAP25/IL34/COL1A2/IL12RB1/IL12RB2/CRLF1/CTSG/CCL3L3/IL26/CCL19/DUSP4/IL1A/OSM/JAK3/IL1RL1/IL12B/IL36RN/PTPN5/IL23A/NOS2/SERPINB2/IFNLR1/CRLF2/SAA1/IL37",150
"R-HSA-500792","R-HSA-500792","GPCR ligand binding","154/2693","470/11230",0.327659574468085,1.36636354299168,4.55712688094161,6.49212467645633e-06,0.000906733413145067,0.000839420330973388,"GPR183/CXCR2/CXCR1/FPR1/CXCL10/FPR2/CCR10/CXCL13/DRD4/OXER1/GPR65/CXCL9/GABBR1/LTB4R2/MC1R/PROK2/PNOC/CCRL2/CXCL11/CCL4/ECE1/PTCH2/GNB2/GPR17/CXCR6/LPAR6/TBXA2R/CXCL5/C3AR1/CCR2/SMO/UCN/ADRA1B/CCL7/FPR3/CCL20/CXCR4/P2RY10/GNG10/P2RY2/CCL13/CXCL1/PTGIR/CCL3/CX3CL1/CCR1/ADRA2C/CCR4/FZD9/PTCH1/FFAR2/FZD7/XCL1/GNG7/GNB3/GPR18/CCL2/NPW/FZD8/XCL2/AVPR2/ADRA2B/WNT6/CCL23/CCR5/FZD10/CXCL3/CCL5/F2RL1/NPB/ADRA2A/CYSLTR1/FZD6/P2RY13/SSTR5/FZD3/F2R/HRH2/P2RY4/ADORA1/CXCL2/VIPR2/WNT11/PTH1R/PTGFR/WNT10A/RAMP3/NMUR1/OXT/PTGDR2/ADCYAP1R1/TAS2R46/RAMP1/OPRL1/PTAFR/TAS2R19/GPR35/HTR6/AVPR1A/LPAR2/HCRTR1/P2RY12/CD55/CCL17/CCR6/WNT10B/CCL3L1/TAS2R43/C5AR2/SUCNR1/HTR1B/GPR4/CCL3L3/GALR1/ADRB1/CCL19/GNG4/ADRA1D/VIPR1/P2RY11/GPR37L1/CRHR2/TAC1/NMU/KEL/UTS2/GRM2/GPR55/RXFP1/WNT16/MC4R/OPN4/WNT9A/TSHR/CXCR3/ADORA2A/ADM2/ADCYAP1/INSL3/GAL/TAS1R3/CHRM5/F2RL3/SCT/CCR7/HCAR1/HCAR3/SSTR1/WNT3A/SAA1/PTGER1/CCL25/GPR37/ADRA1A",154
"R-HSA-373076","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","115/2693","337/11230",0.341246290801187,1.4230211086882,4.42832324530676,1.28964225273815e-05,0.00156135318219399,0.00144544315447428,"GPR183/CXCR2/CXCR1/FPR1/CXCL10/FPR2/CCR10/CXCL13/DRD4/OXER1/GPR65/CXCL9/LTB4R2/MC1R/PROK2/PNOC/CCRL2/CXCL11/CCL4/ECE1/GPR17/CXCR6/LPAR6/TBXA2R/CXCL5/C3AR1/CCR2/ADRA1B/CCL7/FPR3/CCL20/CXCR4/P2RY10/P2RY2/CCL13/CXCL1/PTGIR/CCL3/CX3CL1/CCR1/ADRA2C/CCR4/FFAR2/XCL1/GPR18/CCL2/NPW/XCL2/AVPR2/ADRA2B/CCL23/CCR5/CXCL3/CCL5/F2RL1/NPB/ADRA2A/CYSLTR1/P2RY13/SSTR5/F2R/HRH2/P2RY4/ADORA1/CXCL2/PTGFR/NMUR1/OXT/PTGDR2/OPRL1/PTAFR/GPR35/HTR6/AVPR1A/LPAR2/HCRTR1/P2RY12/CCL17/CCR6/CCL3L1/C5AR2/SUCNR1/HTR1B/GPR4/CCL3L3/GALR1/ADRB1/CCL19/ADRA1D/P2RY11/GPR37L1/TAC1/NMU/KEL/UTS2/GPR55/RXFP1/MC4R/OPN4/TSHR/CXCR3/ADORA2A/INSL3/GAL/CHRM5/F2RL3/CCR7/HCAR1/HCAR3/SSTR1/SAA1/PTGER1/CCL25/GPR37/ADRA1A",115
"R-HSA-3906995","R-HSA-3906995","Diseases associated with O-glycosylation of proteins","33/2693","69/11230",0.478260869565217,1.99438156896301,4.65331158929798,1.3042329684198e-05,0.00156135318219399,0.00144544315447428,"ADAMTS7/MUC12/ADAMTS13/POMT1/NOTCH3/POMT2/ADAMTSL2/C1GALT1C1/ADAMTS10/ADAMTSL4/DAG1/MUC20/LFNG/MUC6/SPON2/SEMA5B/GALNT3/NOTCH4/ADAMTSL5/MUC4/MUC5B/C1GALT1/NOTCH1/ADAMTS15/ADAMTS17/MUC3A/ADAMTS8/ADAMTS4/MUC2/ADAMTS6/ADAMTS18/MUC16/ADAMTSL1",33
"R-HSA-3000178","R-HSA-3000178","ECM proteoglycans","35/2693","76/11230",0.460526315789474,1.92042722848711,4.5218589432051,2.02853996961692e-05,0.00226655532605197,0.00209829327383533,"COL6A1/COL6A2/TNXB/LAMA5/AGRN/COL5A3/TGFB1/PTPRS/LAMB2/HSPG2/COL9A2/DAG1/COL4A2/ITGA7/COL5A1/LUM/ITGB5/BGN/TGFB3/COL1A1/DSPP/COL4A1/TNN/ITGA2/COL6A5/ITGA8/COL1A2/MATN1/VTN/MATN4/COL9A1/COL4A6/BCAN/ACAN/TNR",35
"R-HSA-9658195","R-HSA-9658195","Leishmania infection","62/2693","163/11230",0.380368098159509,1.58616180554448,4.23382049026255,3.91987312287436e-05,0.00386453373761025,0.00357764271400421,"DVL1/ADCY9/WASF2/MYH9/BAIAP2/PRKACA/ABL1/IL1B/FCGR1A/ACTR3/ADCY6/ABI1/NCKIPSD/DVL3/NCK1/ENTPD1/FCGR2A/CALM3/GNB2/GGT5/MYO1C/ARPC3/LYN/FURIN/VAV2/MAPK3/JUN/NOXA1/C3AR1/IL6/CASP1/IL10/GNG10/FCGR3A/NOXO1/MYO9B/CYFIP2/ADCY3/SRC/FZD7/TXN/GNG7/GNB3/BTK/IL18/VAV3/GSDMD/ADCY4/CYSLTR1/PLCG2/CD247/WASF3/PRKAR1B/CD163/ADCY5/PSTPIP1/CD3G/DPEP1/CTSG/GNG4/ADCY8/IL1A",62
"R-HSA-9824443","R-HSA-9824443","Parasitic Infection Pathways","62/2693","163/11230",0.380368098159509,1.58616180554448,4.23382049026255,3.91987312287436e-05,0.00386453373761025,0.00357764271400421,"DVL1/ADCY9/WASF2/MYH9/BAIAP2/PRKACA/ABL1/IL1B/FCGR1A/ACTR3/ADCY6/ABI1/NCKIPSD/DVL3/NCK1/ENTPD1/FCGR2A/CALM3/GNB2/GGT5/MYO1C/ARPC3/LYN/FURIN/VAV2/MAPK3/JUN/NOXA1/C3AR1/IL6/CASP1/IL10/GNG10/FCGR3A/NOXO1/MYO9B/CYFIP2/ADCY3/SRC/FZD7/TXN/GNG7/GNB3/BTK/IL18/VAV3/GSDMD/ADCY4/CYSLTR1/PLCG2/CD247/WASF3/PRKAR1B/CD163/ADCY5/PSTPIP1/CD3G/DPEP1/CTSG/GNG4/ADCY8/IL1A",62
"R-HSA-418594","R-HSA-418594","G alpha (i) signalling events","106/2693","319/11230",0.332288401253919,1.38566607726755,3.92473719393565,9.47269540654932e-05,0.00873045877643355,0.00808233653841418,"GPR183/ADCY9/GNA11/PDE4A/CXCR2/CXCR1/FPR1/CXCL10/FPR2/CAMKK1/RGS12/CCR10/PRKACA/PLCB3/PPP2R1A/CXCL13/DRD4/OXER1/RGS18/GPSM1/CXCL9/GABBR1/RGS1/KPNA2/ADCY6/PNOC/CXCL11/CCL4/CALM3/GNB2/GPR17/CXCR6/CXCL5/C3AR1/CCR2/FPR3/CCL20/CXCR4/GNG10/CCL13/CXCL1/CX3CL1/CAMK2B/CCR1/ADRA2C/CCR4/ADCY3/SRC/GNG7/GNB3/GPR18/NPW/ADRA2B/CCL23/CCR5/CCL4L2/CXCL3/CCL5/ADCY4/NPB/ADRA2A/P2RY13/SSTR5/RGS11/PDE1B/P2RY4/ADORA1/CXCL2/RGS13/CAMK4/NMUR1/PTGDR2/PDE4C/PRKAR1B/TAS2R46/OPRL1/ADCY5/TAS2R19/LPAR2/P2RY12/CCR6/RGS6/TAS2R43/SUCNR1/HTR1B/GALR1/CCL19/GNG4/GPR37L1/ADCY8/NMU/GRM2/GPR55/RGS8/CXCR3/GAL/TAS1R3/CCR7/HCAR1/PPP1R1B/HCAR3/SSTR1/SAA1/CCL25/PRKCG/GPR37",106
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions","36/2693","84/11230",0.428571428571429,1.78717309426556,4.06711490152269,0.000102008826867214,0.00873045877643355,0.00808233653841418,"COL18A1/COL6A1/COL6A2/AGRN/COL5A3/ITGA4/COL7A1/COL16A1/HSPG2/COL9A2/BSG/COL4A2/SPP1/ITGA7/COL5A1/LUM/ITGB5/ICAM3/COL8A2/ITGA3/COL1A1/COL4A1/COL23A1/COL13A1/ITGAL/ITGA2/COL6A5/VCAM1/ITGA8/COL1A2/ITGB7/VTN/COL9A1/COL4A6/ICAM4/COL10A1",36
"R-HSA-3781865","R-HSA-3781865","Diseases of glycosylation","55/2693","145/11230",0.379310344827586,1.58175089952239,3.9599462653029,0.000114006599165808,0.00873045877643355,0.00808233653841418,"GPC1/ADAMTS7/MUC12/ADAMTS13/HEXB/AGRN/CSPG4/POMT1/NOTCH3/POMT2/GPC2/ADAMTSL2/C1GALT1C1/HSPG2/ADAMTS10/ADAMTSL4/DAG1/MUC20/GLB1/B3GAT3/LFNG/SDC1/B3GALT6/MUC6/CHST3/SPON2/SEMA5B/ALG6/GALNT3/NOTCH4/ADAMTSL5/LUM/MUC4/MUC5B/DPM1/C1GALT1/NOTCH1/BGN/ADAMTS15/ADAMTS17/CSPG5/MUC3A/ADAMTS8/PRELP/ADAMTS4/GPC4/MUC2/ADAMTS6/ADAMTS18/MUC16/GPC5/ADAMTSL1/BCAN/GPC3/ACAN",55
