"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04940","Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","27/2068","39/6676",0.692307692307692,2.23493527748847,5.18125847998077,9.44676528489335e-07,2.78537413120074e-05,2.32044702057926e-05,"HLA-DRA/IL1B/HLA-DQA1/CD80/HLA-DPA1/CD86/HLA-DMB/FAS/HLA-DOB/IFNG/HLA-DMA/HLA-DPB1/CD28/HLA-DQB2/HLA-DOA/FASLG/HLA-DQB1/GZMB/PRF1/IL12A/HLA-DRB1/LTA/TNF/HLA-DRB4/IL1A/IL12B/HLA-DQA2",27
"hsa05320","Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","25/2068","35/6676",0.714285714285714,2.30588560375794,5.18880181528677,9.54985416411682e-07,2.78537413120074e-05,2.32044702057926e-05,"HLA-DRA/HLA-DQA1/CD80/HLA-DPA1/CD86/CTLA4/HLA-DMB/FAS/IL10/HLA-DOB/HLA-DMA/HLA-DPB1/CD28/HLA-DQB2/HLA-DOA/FASLG/HLA-DQB1/GZMB/PRF1/HLA-DRB1/CD40LG/TPO/HLA-DRB4/TSHR/HLA-DQA2",25
"hsa04658","Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","47/2068","85/6676",0.552941176470588,1.78502673796791,4.87936069082797,2.50526587430679e-06,6.74494658467212e-05,5.61909835775693e-05,"HLA-DRA/NOTCH3/NFATC1/HLA-DQA1/DLL1/IKBKG/JAK2/CHUK/HLA-DPA1/IL2RG/HLA-DMB/MAPK3/JUN/IFNGR1/JAG2/STAT1/NFKBIB/CD3D/TYK2/HLA-DOB/IFNG/MAPK12/HLA-DMA/IL2RA/HLA-DPB1/HLA-DQB2/HLA-DOA/NOTCH1/MAPK11/HLA-DQB1/CD247/NFATC2/LCK/CD3E/IL12A/ZAP70/IL2RB/HLA-DRB1/CD3G/STAT4/IL12RB1/IL12RB2/HLA-DRB4/TBX21/JAK3/IL12B/HLA-DQA2",47
"hsa04062","Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","83/2068","176/6676",0.471590909090909,1.52240856339019,4.7049456389649,3.81482009193893e-06,9.53705022984732e-05,7.94515162005326e-05,"ADCY9/CXCR2/CXCR1/CCL18/HRAS/BCAR1/CXCL10/CCR10/PRKACA/PLCB3/CXCL13/AKT2/NRAS/CXCL9/ADCY6/IKBKG/JAK2/CHUK/BAD/PXN/CXCL11/CCL4/GNB2/PIK3R2/LYN/VAV2/CXCR6/MAPK3/CXCL5/ITK/CCR2/CCL7/STAT1/NFKBIB/CCL20/RAP1B/CXCR4/GNG10/PIK3CG/PRKCB/CCL8/CCL13/SHC2/CXCL1/RAC3/CCL3/CX3CL1/CCR1/CCR4/ADCY3/SRC/XCL1/GNG7/GNB3/CCL2/XCL2/CCL23/CCR5/CCL4L2/VAV3/CXCL3/CCL5/ADCY4/PLCG2/CXCL2/DOCK2/PF4V1/ADCY5/RAC2/RASGRP2/CCL17/CCR6/CCL3L1/CCL3L3/CCL19/GNG4/SHC3/ADCY8/JAK3/CXCR3/CCR7/CCL24/CCL25",83
"hsa04659","Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","53/2068","101/6676",0.524752475247525,1.69402684949346,4.70797065779859,4.87407034135435e-06,0.000113728307964935,9.47450866354495e-05,"RXRA/RXRB/HLA-DRA/TGFB1/NFATC1/IL1B/IRF4/HLA-DQA1/RARA/IKBKG/JAK2/CHUK/HLA-DPA1/IL2RG/HIF1A/HLA-DMB/MAPK3/JUN/IFNGR1/IL21R/IL6/STAT1/NFKBIB/CD3D/TYK2/HLA-DOB/IFNG/MAPK12/HLA-DMA/IL2RA/HLA-DPB1/HLA-DQB2/HLA-DOA/MAPK11/HLA-DQB1/CD247/IL23R/NFATC2/IL21/LCK/CD3E/IL27RA/ZAP70/IL2RB/HLA-DRB1/CD3G/IL12RB1/HLA-DRB4/TBX21/JAK3/RXRG/IL23A/HLA-DQA2",53
"hsa05310","Human Diseases","Immune disease","hsa05310","Asthma","18/2068","25/6676",0.72,2.32433268858801,4.44394112225205,2.84327601848538e-05,0.000621966629043676,0.000518149642842401,"HLA-DRA/HLA-DQA1/HLA-DPA1/FCER1G/HLA-DMB/IL10/HLA-DOB/HLA-DMA/HLA-DPB1/HLA-DQB2/HLA-DOA/HLA-DQB1/HLA-DRB1/CD40LG/TNF/HLA-DRB4/RNASE3/HLA-DQA2",18
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","37/2068","67/6676",0.552238805970149,1.78275931753226,4.31362550494681,3.02565808599238e-05,0.000622929605939608,0.000518951882241418,"FPR1/FCGR3B/FPR2/HLA-DRA/KRT23/HLA-DQA1/FCGR1A/HLA-DPA1/FCGR2A/HLA-DMB/C3AR1/IL10/FPR3/HLA-DOB/DSG1/FCAR/FCGR3A/HLA-DMA/FCGR2B/HLA-DPB1/KRT14/KRT10/HLA-DQB2/HLA-DOA/HLA-DQB1/CFD/KRT15/C1QB/CFB/ITGAL/PTAFR/HLA-DRB1/HLA-DRB4/HLA-DQA2/KRT24/KRT17/DEFA1",37
"hsa05145","Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","55/2068","112/6676",0.491071428571429,1.58529635258359,4.18451577937671,4.02973006962527e-05,0.000783558624649358,0.00065276913993345,"TAB1/IRAK4/LAMA5/HLA-DRA/TGFB1/BIRC3/AKT2/GNAO1/HLA-DQA1/LAMB2/TLR2/IKBKG/JAK2/MAP2K3/CHUK/HLA-DPA1/BAD/CASP3/CASP9/HLA-DMB/BIRC2/MAPK3/IFNGR1/STAT1/IL10/NFKBIB/BIRC7/PIK3CG/LY96/TYK2/HLA-DOB/IFNG/TLR4/IRAK1/MAPK12/HLA-DMA/HLA-DPB1/CCR5/LAMB3/HLA-DQB2/HLA-DOA/MAPK11/TGFB3/HLA-DQB1/ALOX5/LAMC3/IL12A/HLA-DRB1/CD40LG/TNF/HLA-DRB4/IL12B/NOS2/HLA-DQA2/LAMB4",55
"hsa05340","Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","22/2068","34/6676",0.647058823529412,2.08886107634543,4.26390149684949,5.03292945452061e-05,0.000927118583727481,0.000772366459225601,"PTPRC/IKBKG/ICOS/CD79A/IL7R/IL2RG/CD3D/CD19/BTK/AIRE/TAP1/CD8A/LCK/CD3E/TNFRSF13C/ZAP70/TNFRSF13B/CD8B/CD40LG/BLNK/JAK3/AICDA",22
"hsa04620","Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","47/2068","93/6676",0.505376344086022,1.63147605083089,4.10800627237802,5.84153673762627e-05,0.0010222689290846,0.000851634566485515,"MAP2K7/TAB1/TOLLIP/IRAK4/TLR8/CXCL10/TLR1/AKT2/IL1B/IRF3/CXCL9/TLR2/CD80/IKBKG/MAP2K3/TICAM1/CHUK/CD86/CXCL11/CCL4/SPP1/PIK3R2/MAP2K2/MAPK3/JUN/IL6/TBK1/STAT1/TLR7/LBP/LY96/TLR6/TYK2/TLR4/CCL3/IRAK1/MAPK12/CCL4L2/MAPK11/CTSK/CCL5/IL12A/IRF7/CCL3L1/TNF/CCL3L3/IL12B",47
